rank,team,rank_change_since_previous,points,ranking_date
1,Argentina,1,1877.27,2026-06-11
2,Spain,0,1874.71,2026-06-11
3,France,-2,1870.70,2026-06-11
4,England,0,1828.02,2026-06-11
5,Portugal,0,1767.85,2026-06-11
6,Brazil,0,1765.86,2026-06-11
7,Morocco,1,1755.10,2026-06-11
8,Netherlands,-1,1753.57,2026-06-11
9,Belgium,0,1742.24,2026-06-11
10,Germany,0,1735.77,2026-06-11
11,Croatia,0,1714.87,2026-06-11
12,Italy,0,1704.73,2026-06-11
13,Colombia,0,1698.35,2026-06-11
14,Mexico,1,1687.48,2026-06-11
15,Senegal,-1,1684.07,2026-06-11
16,Uruguay,1,1673.07,2026-06-11
17,USA,-1,1671.23,2026-06-11
18,Japan,0,1661.58,2026-06-11
19,Switzerland,0,1650.06,2026-06-11
20,IR Iran,1,1619.58,2026-06-11
21,Denmark,-1,1619.47,2026-06-11
22,Türkiye,0,1605.73,2026-06-11
23,Ecuador,0,1598.52,2026-06-11
24,Austria,0,1597.40,2026-06-11
25,Korea Republic,0,1591.63,2026-06-11
26,Nigeria,0,1585.02,2026-06-11
27,Australia,0,1579.34,2026-06-11
28,Algeria,0,1571.03,2026-06-11
29,Egypt,0,1562.37,2026-06-11
30,Canada,0,1559.48,2026-06-11
31,Norway,0,1557.44,2026-06-11
32,Ukraine,0,1549.29,2026-06-11
33,Côte d'Ivoire,1,1540.87,2026-06-11
34,Panama,-1,1539.16,2026-06-11
35,Russia,1,1529.60,2026-06-11
36,Poland,-1,1526.18,2026-06-11
37,Wales,0,1516.95,2026-06-11
38,Sweden,0,1509.79,2026-06-11
39,Hungary,3,1506.39,2026-06-11
40,Czechia,1,1505.74,2026-06-11
41,Paraguay,-1,1505.35,2026-06-11
42,Scotland,1,1503.34,2026-06-11
43,Serbia,-4,1502.13,2026-06-11
44,Cameroon,1,1481.24,2026-06-11
45,Tunisia,-1,1476.41,2026-06-11
46,Congo DR,0,1474.43,2026-06-11
47,Slovakia,1,1473.66,2026-06-11
48,Greece,-1,1473.19,2026-06-11
49,Venezuela,0,1469.18,2026-06-11
50,Uzbekistan,0,1458.73,2026-06-11
51,Chile,3,1458.20,2026-06-11
52,Peru,1,1457.69,2026-06-11
53,Costa Rica,-2,1456.03,2026-06-11
54,Romania,2,1455.89,2026-06-11
55,Mali,-3,1455.59,2026-06-11
56,Qatar,-1,1450.31,2026-06-11
57,Iraq,0,1446.28,2026-06-11
58,Republic of Ireland,1,1441.10,2026-06-11
59,Slovenia,-1,1441.09,2026-06-11
60,South Africa,0,1428.38,2026-06-11
61,Saudi Arabia,0,1423.88,2026-06-11
62,Burkina Faso,0,1406.99,2026-06-11
63,Jordan,0,1387.74,2026-06-11
64,Bosnia and Herzegovina,1,1387.22,2026-06-11
65,Honduras,1,1378.97,2026-06-11
66,Albania,-2,1376.03,2026-06-11
67,Cabo Verde,2,1371.11,2026-06-11
68,United Arab Emirates,0,1370.47,2026-06-11
69,North Macedonia,-2,1369.16,2026-06-11
70,Northern Ireland,0,1365.30,2026-06-11
71,Jamaica,0,1357.84,2026-06-11
72,Georgia,0,1355.26,2026-06-11
73,Ghana,1,1346.88,2026-06-11
74,Iceland,1,1342.77,2026-06-11
75,Finland,-2,1341.92,2026-06-11
76,Israel,1,1333.90,2026-06-11
77,Bolivia,-1,1326.00,2026-06-11
78,Kosovo,0,1319.12,2026-06-11
79,Oman,0,1306.90,2026-06-11
80,Montenegro,1,1301.98,2026-06-11
81,Guinea,-1,1295.60,2026-06-11
82,Curaçao,0,1294.77,2026-06-11
83,Haiti,0,1293.10,2026-06-11
84,Syria,0,1283.05,2026-06-11
85,Aotearoa New Zealand,0,1275.58,2026-06-11
86,Gabon,1,1272.51,2026-06-11
87,Bulgaria,-1,1271.68,2026-06-11
88,Angola,1,1265.58,2026-06-11
89,Uganda,-1,1264.09,2026-06-11
90,Zambia,2,1255.82,2026-06-11
91,China PR,3,1254.81,2026-06-11
92,Bahrain,-1,1254.41,2026-06-11
93,Benin,-3,1252.17,2026-06-11
